Algorithm,Train_R2 score,Train_Adj_R2 score,Train_RMSE score,Test_R2 score,Test_Adj_R2 score,Test_RMSE score
Linear Regression_BE,0.7507812641482239,0.7496752638411894,0.49921812452251385,0.773336420767055,0.7709753418167118,0.48670753081366813
Linear Regression_RFE,0.7508345186760237,0.7493579824904002,0.4991647837377716,0.7733924862575783,0.7702341933831195,0.48664733326416393
Linear Regression_Lasso,0.7508089032134748,0.7493322152325177,0.4991904414014006,0.7732356759887965,0.7700751976053651,0.4868156818346976
Decision tree regressor,0.96314839978811,0.9630395324315018,3.2163728048916322,0.9168563260598313,0.9162809373128404,4.93889742388087
Decision tree regressor_post pruning,0.8633532727811306,0.8629495896874264,6.193523975977008,0.8448222150480376,0.8437483203424876,6.747302403439831
